,feature/ exemplar ENGLISH,,badminton,ballet,baseball,basketball,billiards,boxing,golfing,handball,running,ice hockey,judo,shot-put,horseback riding,rugby,chess,fencing,skiing,sport fishing,squash,surfing,table tennis,tennis,gymnastics,long jump,soccer,volleyball,walking,cycling,sailing,swimming
feature / exemplar DUTCH,,freq,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
doet zweten,sweat,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4
heeft spelregels,has some rules of play,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
heeft veel media-aandacht,has a lot of media attention,7,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0
is duur,is expensive,2,0,4,4,4,1,4,1,0,2,2,1,0,3,2,1,2,3,1,0,4,0,2,1,0,3,1,1,2,2,2
is een fysieke activiteit,is a physical activity,8,0,0,4,4,4,0,4,4,0,0,0,1,0,0,0,0,0,0,4,0,4,4,0,0,4,4,0,0,0,0
is een hobby,is a hobby,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
is een individuele sport,is practised alone,4,3,4,2,3,4,4,4,2,4,4,4,4,4,4,4,3,4,2,3,3,3,4,4,3,4,4,2,4,3,4
is een olympische discipline,is an olympic discipline,2,0,0,1,1,0,0,1,0,3,1,0,2,1,1,0,0,3,0,1,2,0,1,0,3,1,0,3,4,3,4
is eeuwen oud,is age-old,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is gezond,is healthy,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is goed voor de conditie,is good for the condition,11,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is leuk,is fun,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is ontspannend,is relaxing,7,0,0,4,4,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
